training on [gpu(0)]
epoch 179, loss 0.1008, train acc 0.964, test acc 0.964, time 33.2 sec
epoch 180, loss 0.1018, train acc 0.964, test acc 0.965, time 33.4 sec
epoch 181, loss 0.0989, train acc 0.965, test acc 0.966, time 33.4 sec
epoch 182, loss 0.0989, train acc 0.965, test acc 0.967, time 33.0 sec
epoch 183, loss 0.0976, train acc 0.966, test acc 0.965, time 33.3 sec
epoch 184, loss 0.0990, train acc 0.965, test acc 0.966, time 33.4 sec
epoch 185, loss 0.0980, train acc 0.965, test acc 0.962, time 33.4 sec
epoch 186, loss 0.1003, train acc 0.965, test acc 0.965, time 33.7 sec
epoch 187, loss 0.0983, train acc 0.965, test acc 0.967, time 33.5 sec
epoch 188, loss 0.0973, train acc 0.966, test acc 0.967, time 33.5 sec
epoch 189, loss 0.0973, train acc 0.966, test acc 0.967, time 33.3 sec
epoch 190, loss 0.0971, train acc 0.966, test acc 0.967, time 33.1 sec
epoch 191, loss 0.0979, train acc 0.965, test acc 0.966, time 33.5 sec
epoch 192, loss 0.0964, train acc 0.966, test acc 0.967, time 33.4 sec
epoch 193, loss 0.0960, train acc 0.966, test acc 0.966, time 33.5 sec
epoch 194, loss 0.0983, train acc 0.965, test acc 0.965, time 33.3 sec
epoch 195, loss 0.0960, train acc 0.966, test acc 0.965, time 33.1 sec
epoch 196, loss 0.1178, train acc 0.958, test acc 0.952, time 33.7 sec
epoch 197, loss 0.1007, train acc 0.964, test acc 0.966, time 33.3 sec
epoch 198, loss 0.0968, train acc 0.966, test acc 0.967, time 33.7 sec
epoch 199, loss 0.0962, train acc 0.966, test acc 0.967, time 33.3 sec
epoch 200, loss 0.0953, train acc 0.966, test acc 0.966, time 34.4 sec
epoch 201, loss 0.1157, train acc 0.958, test acc 0.966, time 33.3 sec
epoch 202, loss 0.0969, train acc 0.966, test acc 0.966, time 33.4 sec
epoch 203, loss 0.0968, train acc 0.966, test acc 0.952, time 33.7 sec
epoch 204, loss 0.0969, train acc 0.966, test acc 0.964, time 33.9 sec
epoch 205, loss 0.0958, train acc 0.966, test acc 0.964, time 33.4 sec
epoch 206, loss 0.0951, train acc 0.967, test acc 0.967, time 33.3 sec
epoch 207, loss 0.0955, train acc 0.966, test acc 0.967, time 33.4 sec
epoch 208, loss 0.0963, train acc 0.966, test acc 0.965, time 33.2 sec
epoch 209, loss 0.0939, train acc 0.967, test acc 0.966, time 33.8 sec
epoch 210, loss 0.1179, train acc 0.958, test acc 0.967, time 33.5 sec
epoch 211, loss 0.1023, train acc 0.963, test acc 0.966, time 33.3 sec
epoch 212, loss 0.0955, train acc 0.966, test acc 0.967, time 33.3 sec
epoch 213, loss 0.0950, train acc 0.967, test acc 0.967, time 33.6 sec
epoch 214, loss 0.0939, train acc 0.967, test acc 0.967, time 33.4 sec
epoch 215, loss 0.0940, train acc 0.967, test acc 0.968, time 33.8 sec
epoch 216, loss 0.0942, train acc 0.967, test acc 0.968, time 33.3 sec
epoch 217, loss 0.0943, train acc 0.967, test acc 0.967, time 33.2 sec
epoch 218, loss 0.0942, train acc 0.967, test acc 0.968, time 33.3 sec
epoch 219, loss 0.0931, train acc 0.967, test acc 0.968, time 33.2 sec
epoch 220, loss 0.0936, train acc 0.967, test acc 0.967, time 33.4 sec
epoch 221, loss 0.0929, train acc 0.968, test acc 0.968, time 33.1 sec
epoch 222, loss 0.0979, train acc 0.965, test acc 0.965, time 33.4 sec
epoch 223, loss 0.0936, train acc 0.967, test acc 0.968, time 33.2 sec
epoch 224, loss 0.0931, train acc 0.967, test acc 0.968, time 33.7 sec
epoch 225, loss 0.0942, train acc 0.967, test acc 0.968, time 33.2 sec
epoch 226, loss 0.0933, train acc 0.967, test acc 0.968, time 33.4 sec
epoch 227, loss 0.0926, train acc 0.968, test acc 0.968, time 33.5 sec
epoch 228, loss 0.0942, train acc 0.967, test acc 0.968, time 33.3 sec
epoch 229, loss 0.0925, train acc 0.968, test acc 0.968, time 33.3 sec
epoch 230, loss 0.0943, train acc 0.967, test acc 0.968, time 33.4 sec
epoch 231, loss 0.0938, train acc 0.967, test acc 0.968, time 33.5 sec
epoch 232, loss 0.0922, train acc 0.968, test acc 0.968, time 33.3 sec
epoch 233, loss 0.0920, train acc 0.968, test acc 0.968, time 33.4 sec
epoch 234, loss 0.0923, train acc 0.968, test acc 0.968, time 33.1 sec
epoch 235, loss 0.0919, train acc 0.968, test acc 0.965, time 33.6 sec
epoch 236, loss 0.0924, train acc 0.967, test acc 0.968, time 33.6 sec
epoch 237, loss 0.0917, train acc 0.968, test acc 0.968, time 33.5 sec
epoch 238, loss 0.0919, train acc 0.968, test acc 0.968, time 33.5 sec
epoch 239, loss 0.0941, train acc 0.967, test acc 0.967, time 33.2 sec
epoch 240, loss 0.0919, train acc 0.968, test acc 0.968, time 33.4 sec
epoch 241, loss 0.0953, train acc 0.966, test acc 0.967, time 33.5 sec
epoch 242, loss 0.0915, train acc 0.968, test acc 0.969, time 33.0 sec
epoch 243, loss 0.0911, train acc 0.968, test acc 0.969, time 33.5 sec
epoch 244, loss 0.1874, train acc 0.935, test acc 0.945, time 33.4 sec
epoch 245, loss 0.1121, train acc 0.960, test acc 0.966, time 33.3 sec
epoch 246, loss 0.0965, train acc 0.966, test acc 0.968, time 33.5 sec
